Name,ICO,Max,ROI
Mercury,0.0,1.18059,N/A
ProChain,0.0,0.678741,N/A
SpaceChain,0.0,0.46089,N/A
Bitcoin Atom,0.0,1605.49,N/A
Crown,0.0,4.54861,N/A
Dimecoin,0.0,0.000273276,N/A
LEOcoin,0.0,2.14514,N/A
Pascal Coin,0.0,5.63437,N/A
StrongHands,0.0,0.000828251,N/A
DADI,0.0,0.519489,N/A
Monetha,0.16,0.593221,270.76%
Polybius,10.0,13.2953,32.95%
DMarket,0.63,1.51419,140.34%
Cappasity,0.0,0.493739,N/A
Blackmoon,1.0,2.35961,135.96%
Credo,0.0,0.213729,N/A
LALA World,0.13,0.110595,-14.92%
BlackCoin,0.0,1.10586,N/A
SHIELD,0.0,0.369957,N/A
HempCoin,0.0,0.641633,N/A
Boolberry,0.0,4.22918,N/A
AI Doctor,0.0,0.262816,N/A
Matchpool,0.0,1.51718,N/A
Chronobank,0.0,49.4124,N/A
Blocktix,0.0,2.52771,N/A
Swarm,0.0,1.65402,N/A
ALQO,0.0,3.10897,N/A
UpToken,0.0,0.419468,N/A
Restart Energy MWAT,0.0,0.0757279,N/A
I/O Coin,0.0,7.25943,N/A
Agrello,0.43,1.71679,299.25%
Aeron,0.5,9.33999,1767.99%
Hi Mutual Society,0.0,0.163392,N/A
Hexx,0.0,15.9269,N/A
Karma,0.0,0.0872163,N/A
bitUSD,0.0,1.6002,N/A
Morpheus Network,0.45,0.81913,82.02%
Nework,0.0,0.133185,N/A
Peerplays,0.0,23.3463,N/A
GridCoin,0.0,0.188235,N/A
Omni,0.0,187.578,N/A
CoinPoker,0.0,0.148046,N/A
Blockport,0.0,0.838067,N/A
FlorinCoin,0.0,0.329131,N/A
DIMCOIN,0.01,0.347065,3370.64%
ShipChain,0.0,0.432426,N/A
Incent,0.0,1.03096,N/A
Tao,0.0,1.52358,N/A
Hydrogen,0.0,0.0148208,N/A
Diamond,0.0,32.28,N/A
indaHash,0.21,0.616622,193.62%
Bismuth,0.0,9.06519,N/A
Covesting,1.44,3.11336,116.20%
GINcoin,0.0,9.04334,N/A
Moeda Loyalty Points,0.0,11.731,N/A
Aphelion,0.13,0.723943,456.87%
Ormeus Coin,0.0,5.19155,N/A
Measurable Data Token,0.0,0.836012,N/A
Uquid Coin,0.0,2.96346,N/A
OneRoot Network,0.0,0.141306,N/A
Envion,0.7,1.1906,70.08%
MonetaryUnit,0.0,0.496618,N/A
PACcoin,0.0,0.0149759,N/A
EchoLink,0.0,1.18149,N/A
Numeraire,0.0,158.359,N/A
AICHAIN,0.0,0.139068,N/A
MedicCoin,0.0,0.159281,N/A
RevolutionVR,0.0,0.791078,N/A
Selfkey,0.015,0.080274,435.16%
Sharder,0.0,0.137265,N/A
Radium,0.0,17.1564,N/A
ATMChain,0.0,0.094221,N/A
Flash,0.0,0.217272,N/A
E-Dinar Coin,0.0,1530.15,N/A
Linker Coin,0.0,0.115763,N/A
OAX,0.0,2.71809,N/A
carVertical,0.0055,0.0240844,337.89%
Mooncoin,0.0,0.000842603,N/A
LATOKEN,0.0,1.87412,N/A
Oxycoin,0.0,0.344933,N/A
VeriCoin,0.0,2.61329,N/A
DeviantCoin,0.0,7.31756,N/A
Hacken,0.0,7.93688,N/A
BitClave,0.1,0.316273,216.27%
Quantum,0.0,0.536065,N/A
SolarCoin,0.0,2.4022,N/A
MARK.SPACE,0.0,0.209417,N/A
Databits,0.0,2.33079,N/A
NPER,0.0,0.387916,N/A
Grid+,1.15,3.1194,171.25%
Expanse,0.0,9.4459,N/A
SIBCoin,0.0,5.14234,N/A
Divi,0.0,11.77,N/A
Nebula AI,0.0059,0.115263,1853.61%
Linda,0.0,0.0123142,N/A
Maecenas,0.66,2.18568,231.16%
ICOS,0.0,60.4584,N/A
Smartlands,0.0,4.49593,N/A
SureRemit,0.0,0.0482682,N/A
Rubycoin,0.0,1.99485,N/A
Banyan Network,0.0,0.162267,N/A
Etheroll,0.0,8.97493,N/A
Bezop,0.0,0.718621,N/A
Polis,0.0,57.2763,N/A
Neumark,0.0,2.57384,N/A
PeepCoin,0.0,0.00116472,N/A
TE-FOOD,0.0391,0.0609821,55.96%
NoLimitCoin,0.0,0.51098,N/A
REBL,0.0,0.360175,N/A
Matryx,0.29,2.55124,779.73%
HeroNode,0.0,0.0316088,N/A
LUXCoin,0.0,49.8544,N/A
Olympus Labs,2.18,3.24809,48.99%
NewYorkCoin,0.0,0.000963836,N/A
aXpire,0.1,0.257266,157.26%
LockTrip,0.0,4.15758,N/A
BitSend,0.0,1.90674,N/A
Paragon,1.0,4.10592,310.59%
SwissBorg,0.1,0.104065,4.06%
LoMoCoin,0.0,0.358919,N/A
Everus,0.0,6.02791,N/A
Graft,0.0,0.0635841,N/A
Russian Miner Coin,0.0,30285.8,N/A
Pareto Network,0.0,0.0997535,N/A
Rivetz,0.88,3.36825,282.75%
DomRaider,0.12,0.163752,36.46%
PolySwarm,0.0165,0.0148441,-10.03%
Playkey,1.73,6.12869,254.25%
ShareX,0.0,0.0557139,N/A
Fluz Fluz,0.0,0.506062,N/A
Clams,0.0,13.6363,N/A
EZToken,0.0,1.65399,N/A
Rialto,0.0,0.657578,N/A
Elixir,0.0,2.43648,N/A
Friendz,0.067,0.0343867,-48.67%
PolicyPal Network,0.0403,0.0563204,39.75%
Rentberry,0.35,0.113571,-67.55%
